trait	leafmid_BLUP	fenzhi_BLUP
25D1514	17.68	11.63
25D1515	17.68	11.18
25D1516	18.03	15.18
25D1517	NA	NA
25D1518	18.56	14.74
25D1519	16.98	13.41
25D152	18.03	4.96
25D1520	18.38	13.41
25D1521	16.45	4.51
25D1522	17.33	12.96
25D1523	17.62	4.92
25D1524	18.03	9.85
25D1525	17.33	8.52
25D1526	17.33	6.74
25D1527	16.98	8.52
25D1528	18.03	9.85
25D1529	17.33	16.07
25D153	18.91	14.3
25D1530	18.03	18.74
25D1531	16.1	14.3
25D1532	17.68	15.18
25D1533	16.98	15.18
25D1534	17.68	22.74
25D1535	16.98	10.74
25D1536	17.2	3.32
25D1537	16.98	19.19
25D1538	NA	NA
25D1539	18.91	15.18
25D154	18.56	7.18
25D1540	17.86	7.18
25D1541	18.03	9.85
25D1542	19.09	14.74
25D1543	18.73	16.52
25D1544	18.21	14.3
25D1545	18.91	17.41
25D1546	18.73	16.07
25D1547	17.86	7.63
25D1548	18.38	12.96
25D1549	18.73	10.74
25D155	18.21	8.07
25D1550	18.91	12.96
25D1551	19.09	18.3
25D1552	19.09	24.52
25D1553	19.26	14.74
25D1554	19.61	19.19
25D1555	18.91	19.63
25D1556	NA	NA
25D1557	18.56	16.52
25D1558	19.09	17.85
25D1559	18.91	17.85
25D156	18.56	13.41
25D1560	NA	NA
25D1561	17.68	7.63
25D1562	17.51	7.63
25D1563	NA	NA
25D1564	17.41	11.33
25D1565	17.15	9.85
25D1566	NA	NA
25D1567	NA	NA
25D1568	NA	NA
25D1569	NA	NA
25D157	18.73	5.85
25D1570	NA	NA
25D1571	NA	NA
25D1572	NA	NA
25D1573	NA	NA
25D1574	NA	NA
25D1575	NA	NA
25D1576	NA	NA
25D1577	NA	NA
25D1578	NA	NA
25D1579	NA	NA
25D158	18.21	7.18
25D1580	NA	NA
25D1581	NA	NA
25D1582	NA	NA
25D1583	NA	NA
25D1584	NA	NA
25D1585	NA	NA
25D1586	NA	NA
25D1587	NA	NA
25D1588	NA	NA
25D1589	NA	NA
25D159	18.38	16.07
25D1590	NA	NA
25D1591	NA	NA
25D1592	NA	NA
25D1593	NA	NA
25D1594	NA	NA
25D1595	NA	NA
25D1596	NA	NA
25D1597	NA	NA
25D1598	NA	NA
25D1599	NA	NA
25D160	18.73	16.52
25D1600	NA	NA
25D1601	NA	NA
25D1602	NA	NA
25D1603	NA	NA
25D1604	NA	NA
25D1605	NA	NA
25D1606	NA	NA
25D1607	NA	NA
25D1608	NA	NA
25D1609	NA	NA
25D161	18.38	5.85
25D1610	NA	NA
25D1611	NA	NA
25D1612	NA	NA
25D1613	NA	NA
25D1614	NA	NA
25D1615	NA	NA
25D1616	NA	NA
25D1617	NA	NA
25D1618	NA	NA
25D1619	NA	NA
25D162	18.03	5.4
25D1620	NA	NA
25D1621	NA	NA
25D1622	NA	NA
25D1623	NA	NA
25D1624	NA	NA
25D1625	NA	NA
25D1626	NA	NA
25D1627	NA	NA
25D1628	NA	NA
25D1629	NA	NA
25D163	17.68	7.63
25D1630	NA	NA
25D1631	NA	NA
25D1632	NA	NA
25D1633	NA	NA
25D1634	NA	NA
25D1635	NA	NA
25D1636	NA	NA
25D1637	NA	NA
25D1638	NA	NA
25D1639	NA	NA
25D164	18.21	7.63
25D1640	NA	NA
25D1641	NA	NA
25D1642	NA	NA
25D1643	NA	NA
25D1644	NA	NA
25D1645	NA	NA
25D1646	NA	NA
25D1647	NA	NA
25D1648	NA	NA
25D1649	NA	NA
25D165	16.8	5.4
25D1650	NA	NA
25D1651	NA	NA
25D1652	NA	NA
25D1653	NA	NA
25D1654	NA	NA
25D1655	NA	NA
25D1656	NA	NA
25D1657	NA	NA
25D1658	NA	NA
25D1659	NA	NA
25D166	18.38	13.41
25D1660	NA	NA
25D1661	NA	NA
25D1662	NA	NA
25D1663	NA	NA
25D1664	NA	NA
25D1665	NA	NA
25D1666	NA	NA
25D1667	NA	NA
25D1668	NA	NA
25D1669	NA	NA
25D167	18.73	15.18
25D1670	NA	NA
25D1671	NA	NA
25D1672	NA	NA
25D1673	NA	NA
25D1674	NA	NA
25D1675	NA	NA
25D1676	NA	NA
25D1677	NA	NA
25D1678	NA	NA
25D1679	NA	NA
25D168	18.38	16.96
25D1680	NA	NA
25D1681	NA	NA
25D1682	NA	NA
25D1683	NA	NA
25D1684	NA	NA
25D1685	NA	NA
25D1686	NA	NA
25D1687	NA	NA
25D1688	NA	NA
25D1689	NA	NA
25D169	17.68	5.85
25D1690	NA	NA
25D1691	NA	NA
25D1692	NA	NA
25D1693	NA	NA
25D1694	NA	NA
25D1695	NA	NA
25D1696	NA	NA
25D1697	NA	NA
25D1698	NA	NA
25D1699	NA	NA
25D170	18.56	8.07
25D1700	NA	NA
25D1701	NA	NA
25D1702	NA	NA
25D1703	NA	NA
25D1704	NA	NA
25D1705	NA	NA
25D1706	NA	NA
25D1707	NA	NA
25D1708	NA	NA
25D1709	NA	NA
25D171	18.38	8.07
25D1710	NA	NA
25D1711	NA	NA
25D1712	NA	NA
25D1713	NA	NA
25D1714	NA	NA
25D1715	NA	NA
25D1716	NA	NA
25D1717	NA	NA
25D1718	NA	NA
25D1719	NA	NA
25D172	18.38	10.74
25D1720	NA	NA
25D1721	NA	NA
25D1722	NA	NA
25D1723	NA	NA
25D1724	NA	NA
25D1725	NA	NA
25D1726	NA	NA
25D1727	NA	NA
25D1728	NA	NA
25D1729	NA	NA
25D173	18.21	12.07
25D1730	NA	NA
25D1731	NA	NA
25D1732	NA	NA
25D1733	NA	NA
25D1734	NA	NA
25D1735	NA	NA
25D1736	NA	NA
25D1737	NA	NA
25D1738	NA	NA
25D1739	NA	NA
25D174	17.68	4.96
25D1740	NA	NA
25D1741	NA	NA
25D1742	NA	NA
25D1743	NA	NA
25D1744	NA	NA
25D1745	NA	NA
25D1746	NA	NA
25D1747	NA	NA
25D1748	NA	NA
25D1749	NA	NA
25D175	18.91	7.18
25D1750	NA	NA
25D1751	NA	NA
25D1752	NA	NA
25D1753	NA	NA
25D1754	NA	NA
25D1755	NA	NA
25D1756	NA	NA
25D1757	NA	NA
25D1758	NA	NA
25D1759	NA	NA
25D176	18.21	11.18
25D1760	NA	NA
25D1761	NA	NA
25D1762	NA	NA
25D1763	NA	NA
25D1764	NA	NA
25D1765	NA	NA
25D1766	NA	NA
25D1767	NA	NA
25D1768	NA	NA
25D1769	NA	NA
25D177	17.86	8.96
25D1770	NA	NA
25D1771	NA	NA
25D1772	17.51	5.85
25D1773	19.26	6.74
25D1774	18.56	4.51
25D1775	19.26	9.85
25D1776	18.73	9.85
25D1777	18.73	11.63
25D1778	19.61	17.41
25D1779	18.21	10.74
25D178	18.03	8.07
25D1780	16.98	7.63
25D1781	17.51	4.07
25D1782	18.38	10.74
25D1783	19.61	8.52
25D1784	16.8	12.07
25D1785	17.51	13.85
25D1786	19.44	8.52
